cycle,state,request,cpu_req_ready,cpu_stall,cache_hit,cache_miss,mem_rd,mem_wr,mem_ready,mem_data_valid,data_out_valid,data_out,note
1,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
2,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
3,MISS,"READ 0x0",0,1,0,1,0,0,0,0,0,0,""
4,CHECK_DIRTY,"READ 0x0",0,1,0,0,0,0,0,0,0,0,"dirty=0"
5,ALLOCATE,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
6,MEM_READ,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
7,MEM_WAIT_READ_1,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
8,MEM_WAIT_READ_2,"READ 0x0",0,1,0,0,0,0,0,1,0,0,""
9,UPDATE_CACHE_BLOCK,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
10,UPDATE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
11,SET_VALID,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
12,CHECK_WRITE_AFTER_ALLOC,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
13,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
14,IDLE,"READ 0x1",1,0,0,0,0,0,0,0,0,0,""
15,COMPARE_TAG,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
16,MISS,"READ 0x1",0,1,0,1,0,0,0,0,0,0,""
17,CHECK_DIRTY,"READ 0x1",0,1,0,0,0,0,0,0,0,0,"dirty=0"
18,ALLOCATE,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
19,MEM_READ,"READ 0x1",0,1,0,0,1,0,0,0,0,0,""
20,MEM_WAIT_READ_1,"READ 0x1",0,1,0,0,1,0,0,0,0,0,""
21,MEM_WAIT_READ_2,"READ 0x1",0,1,0,0,0,0,0,1,0,0,""
22,UPDATE_CACHE_BLOCK,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
23,UPDATE_TAG,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
24,SET_VALID,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
25,CHECK_WRITE_AFTER_ALLOC,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
26,DONE,"READ 0x1",0,0,0,0,0,0,0,0,1,1010,"data=1010"
27,IDLE,"READ 0x2",1,0,0,0,0,0,0,0,0,0,""
28,COMPARE_TAG,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
29,MISS,"READ 0x2",0,1,0,1,0,0,0,0,0,0,""
30,CHECK_DIRTY,"READ 0x2",0,1,0,0,0,0,0,0,0,0,"dirty=0"
31,ALLOCATE,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
32,MEM_READ,"READ 0x2",0,1,0,0,1,0,0,0,0,0,""
33,MEM_WAIT_READ_1,"READ 0x2",0,1,0,0,1,0,0,0,0,0,""
34,MEM_WAIT_READ_2,"READ 0x2",0,1,0,0,0,0,0,1,0,0,""
35,UPDATE_CACHE_BLOCK,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
36,UPDATE_TAG,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
37,SET_VALID,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
38,CHECK_WRITE_AFTER_ALLOC,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
39,DONE,"READ 0x2",0,0,0,0,0,0,0,0,1,1020,"data=1020"
40,IDLE,"READ 0x3",1,0,0,0,0,0,0,0,0,0,""
41,COMPARE_TAG,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
42,MISS,"READ 0x3",0,1,0,1,0,0,0,0,0,0,""
43,CHECK_DIRTY,"READ 0x3",0,1,0,0,0,0,0,0,0,0,"dirty=0"
44,ALLOCATE,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
45,MEM_READ,"READ 0x3",0,1,0,0,1,0,0,0,0,0,""
46,MEM_WAIT_READ_1,"READ 0x3",0,1,0,0,1,0,0,0,0,0,""
47,MEM_WAIT_READ_2,"READ 0x3",0,1,0,0,0,0,0,1,0,0,""
48,UPDATE_CACHE_BLOCK,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
49,UPDATE_TAG,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
50,SET_VALID,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
51,CHECK_WRITE_AFTER_ALLOC,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
52,DONE,"READ 0x3",0,0,0,0,0,0,0,0,1,1030,"data=1030"
53,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
54,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
55,READ_HIT,"READ 0x0",0,1,1,0,0,0,0,0,1,1000,"data=1000"
56,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
57,IDLE,"READ 0x1",1,0,0,0,0,0,0,0,0,0,""
58,COMPARE_TAG,"READ 0x1",0,1,0,0,0,0,0,0,0,0,""
59,READ_HIT,"READ 0x1",0,1,1,0,0,0,0,0,1,1010,"data=1010"
60,DONE,"READ 0x1",0,0,0,0,0,0,0,0,1,1010,"data=1010"
61,IDLE,"READ 0x2",1,0,0,0,0,0,0,0,0,0,""
62,COMPARE_TAG,"READ 0x2",0,1,0,0,0,0,0,0,0,0,""
63,READ_HIT,"READ 0x2",0,1,1,0,0,0,0,0,1,1020,"data=1020"
64,DONE,"READ 0x2",0,0,0,0,0,0,0,0,1,1020,"data=1020"
65,IDLE,"READ 0x3",1,0,0,0,0,0,0,0,0,0,""
66,COMPARE_TAG,"READ 0x3",0,1,0,0,0,0,0,0,0,0,""
67,READ_HIT,"READ 0x3",0,1,1,0,0,0,0,0,1,1030,"data=1030"
68,DONE,"READ 0x3",0,0,0,0,0,0,0,0,1,1030,"data=1030"
69,IDLE,"WRITE 0x0 data=500",1,0,0,0,0,0,0,0,0,0,""
70,COMPARE_TAG,"WRITE 0x0 data=500",0,1,0,0,0,0,0,0,0,0,""
71,WRITE_HIT,"WRITE 0x0 data=500",0,1,1,0,0,0,0,0,0,0,""
72,UPDATE_CACHE,"WRITE 0x0 data=500",0,1,0,0,0,0,0,0,0,0,""
73,SET_DIRTY,"WRITE 0x0 data=500",0,1,0,0,0,0,0,0,0,0,""
74,DONE,"WRITE 0x0 data=500",0,0,0,0,0,0,0,0,0,0,""
75,IDLE,"READ 0x4",1,0,0,0,0,0,0,0,0,0,""
76,COMPARE_TAG,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
77,MISS,"READ 0x4",0,1,0,1,0,0,0,0,0,0,""
78,CHECK_DIRTY,"READ 0x4",0,1,0,0,0,0,0,0,0,0,"dirty=1"
79,WRITE_BACK,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
80,MEM_WRITE,"READ 0x4",0,1,0,0,0,1,0,0,0,0,""
81,MEM_WAIT_WRITE_1,"READ 0x4",0,1,0,0,0,1,0,0,0,0,""
82,MEM_WAIT_WRITE_2,"READ 0x4",0,1,0,0,0,0,1,0,0,0,""
83,ALLOCATE,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
84,MEM_READ,"READ 0x4",0,1,0,0,1,0,0,0,0,0,""
85,MEM_WAIT_READ_1,"READ 0x4",0,1,0,0,1,0,0,0,0,0,""
86,MEM_WAIT_READ_2,"READ 0x4",0,1,0,0,0,0,0,1,0,0,""
87,UPDATE_CACHE_BLOCK,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
88,UPDATE_TAG,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
89,SET_VALID,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
90,CHECK_WRITE_AFTER_ALLOC,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
91,DONE,"READ 0x4",0,0,0,0,0,0,0,0,1,1040,"data=1040"
92,IDLE,"READ 0x5",1,0,0,0,0,0,0,0,0,0,""
93,COMPARE_TAG,"READ 0x5",0,1,0,0,0,0,0,0,0,0,""
94,MISS,"READ 0x5",0,1,0,1,0,0,0,0,0,0,""
95,CHECK_DIRTY,"READ 0x5",0,1,0,0,0,0,0,0,0,0,"dirty=0"
96,ALLOCATE,"READ 0x5",0,1,0,0,0,0,0,0,0,0,""
97,MEM_READ,"READ 0x5",0,1,0,0,1,0,0,0,0,0,""
98,MEM_WAIT_READ_1,"READ 0x5",0,1,0,0,1,0,0,0,0,0,""
99,MEM_WAIT_READ_2,"READ 0x5",0,1,0,0,0,0,0,1,0,0,""
