cycle,state,request,cpu_req_ready,cpu_stall,cache_hit,cache_miss,mem_rd,mem_wr,mem_ready,mem_data_valid,data_out_valid,data_out,note
1,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
2,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
3,MISS,"READ 0x0",0,1,0,1,0,0,0,0,0,0,""
4,CHECK_DIRTY,"READ 0x0",0,1,0,0,0,0,0,0,0,0,"dirty=0"
5,ALLOCATE,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
6,MEM_READ,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
7,MEM_WAIT_READ_1,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
8,MEM_WAIT_READ_2,"READ 0x0",0,1,0,0,0,0,0,1,0,0,""
9,UPDATE_CACHE_BLOCK,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
10,UPDATE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
11,SET_VALID,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
12,CHECK_WRITE_AFTER_ALLOC,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
13,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
14,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
15,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
16,READ_HIT,"READ 0x0",0,1,1,0,0,0,0,0,1,1000,"data=1000"
17,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
18,IDLE,"WRITE 0x0 data=111",1,0,0,0,0,0,0,0,0,0,""
19,COMPARE_TAG,"WRITE 0x0 data=111",0,1,0,0,0,0,0,0,0,0,""
20,WRITE_HIT,"WRITE 0x0 data=111",0,1,1,0,0,0,0,0,0,0,""
21,UPDATE_CACHE,"WRITE 0x0 data=111",0,1,0,0,0,0,0,0,0,0,""
22,SET_DIRTY,"WRITE 0x0 data=111",0,1,0,0,0,0,0,0,0,0,""
23,DONE,"WRITE 0x0 data=111",0,0,0,0,0,0,0,0,0,0,""
24,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
25,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
26,READ_HIT,"READ 0x0",0,1,1,0,0,0,0,0,1,111,"data=111"
27,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,111,"data=111"
28,IDLE,"WRITE 0x0 data=222",1,0,0,0,0,0,0,0,0,0,""
29,COMPARE_TAG,"WRITE 0x0 data=222",0,1,0,0,0,0,0,0,0,0,""
30,WRITE_HIT,"WRITE 0x0 data=222",0,1,1,0,0,0,0,0,0,0,""
31,UPDATE_CACHE,"WRITE 0x0 data=222",0,1,0,0,0,0,0,0,0,0,""
32,SET_DIRTY,"WRITE 0x0 data=222",0,1,0,0,0,0,0,0,0,0,""
33,DONE,"WRITE 0x0 data=222",0,0,0,0,0,0,0,0,0,0,""
34,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
35,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
36,READ_HIT,"READ 0x0",0,1,1,0,0,0,0,0,1,222,"data=222"
37,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,222,"data=222"
