cycle,state,request,cpu_req_ready,cpu_stall,cache_hit,cache_miss,mem_rd,mem_wr,mem_ready,mem_data_valid,data_out_valid,data_out,note
1,IDLE,"WRITE 0x0 data=100",1,0,0,0,0,0,0,0,0,0,""
2,COMPARE_TAG,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
3,MISS,"WRITE 0x0 data=100",0,1,0,1,0,0,0,0,0,0,""
4,CHECK_DIRTY,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,"dirty=0"
5,ALLOCATE,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
6,MEM_READ,"WRITE 0x0 data=100",0,1,0,0,1,0,0,0,0,0,""
7,MEM_WAIT_READ_1,"WRITE 0x0 data=100",0,1,0,0,1,0,0,0,0,0,""
8,MEM_WAIT_READ_2,"WRITE 0x0 data=100",0,1,0,0,0,0,0,1,0,0,""
9,UPDATE_CACHE_BLOCK,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
10,UPDATE_TAG,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
11,SET_VALID,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
12,CHECK_WRITE_AFTER_ALLOC,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
13,WRITE_AFTER_ALLOC,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
14,UPDATE_CACHE,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
15,SET_DIRTY,"WRITE 0x0 data=100",0,1,0,0,0,0,0,0,0,0,""
16,DONE,"WRITE 0x0 data=100",0,0,0,0,0,0,0,0,0,0,""
17,IDLE,"WRITE 0x4 data=200",1,0,0,0,0,0,0,0,0,0,""
18,COMPARE_TAG,"WRITE 0x4 data=200",0,1,0,0,0,0,0,0,0,0,""
19,MISS,"WRITE 0x4 data=200",0,1,0,1,0,0,0,0,0,0,""
20,CHECK_DIRTY,"WRITE 0x4 data=200",0,1,0,0,0,0,0,0,0,0,"dirty=1"
21,WRITE_BACK,"WRITE 0x4 data=200",0,1,0,0,0,0,0,0,0,0,""
22,MEM_WRITE,"WRITE 0x4 data=200",0,1,0,0,0,1,0,0,0,0,""
23,MEM_WAIT_WRITE_1,"WRITE 0x4 data=200",0,1,0,0,0,1,0,0,0,0,""
24,MEM_WAIT_WRITE_2,"WRITE 0x4 data=200",0,1,0,0,0,0,1,0,0,0,""
25,ALLOCATE,"WRITE 0x4 data=200",0,1,0,0,0,0,0,0,0,0,""
26,MEM_READ,"WRITE 0x4 data=200",0,1,0,0,1,0,0,0,0,0,""
27,MEM_WAIT_READ_1,"WRITE 0x4 data=200",0,1,0,0,1,0,0,0,0,0,""
28,MEM_WAIT_READ_2,"WRITE 0x4 data=200",0,1,0,0,0,0,0,1,0,0,""
