cycle,state,request,cpu_req_ready,cpu_stall,cache_hit,cache_miss,mem_rd,mem_wr,mem_ready,mem_data_valid,data_out_valid,data_out,note
1,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
2,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
3,MISS,"READ 0x0",0,1,0,1,0,0,0,0,0,0,""
4,CHECK_DIRTY,"READ 0x0",0,1,0,0,0,0,0,0,0,0,"dirty=0"
5,ALLOCATE,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
6,MEM_READ,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
7,MEM_WAIT_READ_1,"READ 0x0",0,1,0,0,1,0,0,0,0,0,""
8,MEM_WAIT_READ_2,"READ 0x0",0,1,0,0,0,0,0,1,0,0,""
9,UPDATE_CACHE_BLOCK,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
10,UPDATE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
11,SET_VALID,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
12,CHECK_WRITE_AFTER_ALLOC,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
13,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
14,IDLE,"READ 0x0",1,0,0,0,0,0,0,0,0,0,""
15,COMPARE_TAG,"READ 0x0",0,1,0,0,0,0,0,0,0,0,""
16,READ_HIT,"READ 0x0",0,1,1,0,0,0,0,0,1,1000,"data=1000"
17,DONE,"READ 0x0",0,0,0,0,0,0,0,0,1,1000,"data=1000"
18,IDLE,"WRITE 0x0 data=777",1,0,0,0,0,0,0,0,0,0,""
19,COMPARE_TAG,"WRITE 0x0 data=777",0,1,0,0,0,0,0,0,0,0,""
20,WRITE_HIT,"WRITE 0x0 data=777",0,1,1,0,0,0,0,0,0,0,""
21,UPDATE_CACHE,"WRITE 0x0 data=777",0,1,0,0,0,0,0,0,0,0,""
22,SET_DIRTY,"WRITE 0x0 data=777",0,1,0,0,0,0,0,0,0,0,""
23,DONE,"WRITE 0x0 data=777",0,0,0,0,0,0,0,0,0,0,""
24,IDLE,"READ 0x4",1,0,0,0,0,0,0,0,0,0,""
25,COMPARE_TAG,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
26,MISS,"READ 0x4",0,1,0,1,0,0,0,0,0,0,""
27,CHECK_DIRTY,"READ 0x4",0,1,0,0,0,0,0,0,0,0,"dirty=1"
28,WRITE_BACK,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
29,MEM_WRITE,"READ 0x4",0,1,0,0,0,1,0,0,0,0,""
30,MEM_WAIT_WRITE_1,"READ 0x4",0,1,0,0,0,1,0,0,0,0,""
31,MEM_WAIT_WRITE_2,"READ 0x4",0,1,0,0,0,0,1,0,0,0,""
32,ALLOCATE,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
33,MEM_READ,"READ 0x4",0,1,0,0,1,0,0,0,0,0,""
34,MEM_WAIT_READ_1,"READ 0x4",0,1,0,0,1,0,0,0,0,0,""
35,MEM_WAIT_READ_2,"READ 0x4",0,1,0,0,0,0,0,1,0,0,""
36,UPDATE_CACHE_BLOCK,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
37,UPDATE_TAG,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
38,SET_VALID,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
39,CHECK_WRITE_AFTER_ALLOC,"READ 0x4",0,1,0,0,0,0,0,0,0,0,""
40,DONE,"READ 0x4",0,0,0,0,0,0,0,0,1,1040,"data=1040"
41,IDLE,"WRITE 0x8 data=888",1,0,0,0,0,0,0,0,0,0,""
42,COMPARE_TAG,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
43,MISS,"WRITE 0x8 data=888",0,1,0,1,0,0,0,0,0,0,""
44,CHECK_DIRTY,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,"dirty=0"
45,ALLOCATE,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
46,MEM_READ,"WRITE 0x8 data=888",0,1,0,0,1,0,0,0,0,0,""
47,MEM_WAIT_READ_1,"WRITE 0x8 data=888",0,1,0,0,1,0,0,0,0,0,""
48,MEM_WAIT_READ_2,"WRITE 0x8 data=888",0,1,0,0,0,0,0,1,0,0,""
49,UPDATE_CACHE_BLOCK,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
50,UPDATE_TAG,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
51,SET_VALID,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
52,CHECK_WRITE_AFTER_ALLOC,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
53,WRITE_AFTER_ALLOC,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
54,UPDATE_CACHE,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
55,SET_DIRTY,"WRITE 0x8 data=888",0,1,0,0,0,0,0,0,0,0,""
56,DONE,"WRITE 0x8 data=888",0,0,0,0,0,0,0,0,0,0,""
57,IDLE,"WRITE 0x8 data=999",1,0,0,0,0,0,0,0,0,0,""
58,COMPARE_TAG,"WRITE 0x8 data=999",0,1,0,0,0,0,0,0,0,0,""
59,WRITE_HIT,"WRITE 0x8 data=999",0,1,1,0,0,0,0,0,0,0,""
60,UPDATE_CACHE,"WRITE 0x8 data=999",0,1,0,0,0,0,0,0,0,0,""
61,SET_DIRTY,"WRITE 0x8 data=999",0,1,0,0,0,0,0,0,0,0,""
62,DONE,"WRITE 0x8 data=999",0,0,0,0,0,0,0,0,0,0,""
63,IDLE,"READ 0xC",1,0,0,0,0,0,0,0,0,0,""
64,COMPARE_TAG,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
65,MISS,"READ 0xC",0,1,0,1,0,0,0,0,0,0,""
66,CHECK_DIRTY,"READ 0xC",0,1,0,0,0,0,0,0,0,0,"dirty=1"
67,WRITE_BACK,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
68,MEM_WRITE,"READ 0xC",0,1,0,0,0,1,0,0,0,0,""
69,MEM_WAIT_WRITE_1,"READ 0xC",0,1,0,0,0,1,0,0,0,0,""
70,MEM_WAIT_WRITE_2,"READ 0xC",0,1,0,0,0,0,1,0,0,0,""
71,ALLOCATE,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
72,MEM_READ,"READ 0xC",0,1,0,0,1,0,0,0,0,0,""
73,MEM_WAIT_READ_1,"READ 0xC",0,1,0,0,1,0,0,0,0,0,""
74,MEM_WAIT_READ_2,"READ 0xC",0,1,0,0,0,0,0,1,0,0,""
75,UPDATE_CACHE_BLOCK,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
76,UPDATE_TAG,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
77,SET_VALID,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
78,CHECK_WRITE_AFTER_ALLOC,"READ 0xC",0,1,0,0,0,0,0,0,0,0,""
79,DONE,"READ 0xC",0,0,0,0,0,0,0,0,1,1120,"data=1120"
